lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,agent,adr,reservation_status_date,customer
141,2016,5,31,2,5,IRL,Online TA,TA/TO,1,1,242,85.33,160607,3
386,2016,10,20,0,3,PRT,Groups,Corporate,1,1,0,49,160711,2
168,2016,4,12,0,2,PRT,Groups,TA/TO,1,1,245,86,160105,2
50,2016,3,23,0,4,PRT,Online TA,TA/TO,5,5,240,87.75,160212,2
196,2016,12,30,1,2,PRT,Groups,TA/TO,1,3,0,180,161219,2
87,2017,7,10,1,1,ESP,Online TA,TA/TO,1,1,240,202,170712,2
3,2015,8,13,0,3,IRL,Online TA,TA/TO,6,6,242,212.4,150816,2
37,2016,11,10,0,3,GBR,Online TA,TA/TO,1,1,240,64.8,161025,2
83,2016,4,22,2,5,PRT,Groups,TA/TO,1,1,71,46,160222,2
276,2016,5,26,0,1,PRT,Online TA,TA/TO,1,1,240,46.98,160516,2
18,2016,7,15,0,2,ESP,Online TA,TA/TO,1,1,240,186,160717,2
73,2016,8,21,2,3,GBR,Online TA,TA/TO,4,5,240,205,160808,2
12,2016,10,17,1,0,BRA,Online TA,TA/TO,1,1,240,71,161018,2
236,2016,5,12,1,3,PRT,Groups,TA/TO,1,1,315,48,160506,2
106,2017,8,11,2,2,DEU,Online TA,TA/TO,4,4,240,250,170718,2
99,2017,3,6,2,5,GBR,Online TA,TA/TO,1,3,242,83.86,170313,2
168,2016,4,28,1,3,PRT,Groups,TA/TO,1,1,257,80,160119,2
3,2017,1,28,1,1,ESP,Online TA,TA/TO,1,1,240,52,170125,2
3,2016,11,28,1,0,PRT,Corporate,TA/TO,1,4,0,30,161129,1
65,2016,3,12,2,3,PRT,Offline TA/TO,TA/TO,1,1,177,49.5,160129,2
54,2016,12,31,1,1,PRT,Direct,Direct,4,5,0,225,170102,2
213,2016,5,16,1,1,PRT,Groups,TA/TO,1,1,298,85,160419,2
101,2017,5,14,1,0,PRT,Offline TA/TO,TA/TO,4,4,251,62,170418,2
165,2015,12,30,0,4,PRT,Groups,TA/TO,1,3,308,136.5,160103,2
0,2016,4,3,2,0,BEL,Online TA,TA/TO,4,4,240,97.5,160405,3
7,2016,11,16,0,4,GBR,Offline TA/TO,TA/TO,4,4,177,48.25,161120,2
173,2016,5,19,2,3,IRL,Online TA,TA/TO,1,1,240,52.2,160524,2
41,2017,1,19,0,2,PRT,Online TA,TA/TO,1,1,468,57.6,161224,2
155,2016,7,20,1,4,PRT,Offline TA/TO,TA/TO,1,1,314,100.8,160322,2
80,2016,4,7,0,3,ESP,Groups,TA/TO,1,1,67,68,160410,2
29,2016,2,6,2,1,PRT,Offline TA/TO,TA/TO,4,4,156,63,160209,2
123,2016,8,14,2,3,ESP,Online TA,TA/TO,5,5,240,216,160720,2
168,2016,3,30,1,4,GBR,Groups,Direct,1,3,0,66,160404,3
